DIST_ID,CO_DIST_NUM,ESD,VOICES June2015,VOICESJune2016,ENROLLED2014-15,PRESENT2014-15,ENROLLED2015-16,PRESENT2015-16,ENROLLED2016-2017,PRESENT2016-17,WELPA2014,WELPA2015,WELPA2016,MATH2014,MATH2015,MATH2016,READING2014,READING2015,READING2016,SCIENCE2014,SCIENCE2015,SCIENCE2016
WATONK,24404,171,NULL,2015-2016,180,175,180,176,180,175,3,4,NULL,1,2,2,2,NULL,2,NULL,2,NULL
WAOTHE,1147,123,NULL,2015-2016,179,171,165,162,177,171,3,3,NULL,NULL,2,3,NULL,NULL,2,2,NULL,NULL
WAYAKI,39007,105,2014-2015,NULL,94,93,179,176,180,172,NULL,1,NULL,1,1,2,NULL,NULL,1,NULL,NULL,1
WAMTVE,29320,189,NULL,2015-2016,NULL,NULL,180,180,180,180,NULL,3,NULL,NULL,1,2,NULL,NULL,1,NULL,NULL,NULL
WAQUIN,13144,171,NULL,2015-2016,NULL,NULL,34,32,180,166,NULL,NULL,NULL,NULL,2,1,NULL,NULL,2,NULL,NULL,NULL
WABURL,29100,189,2014-2015,NULL,183,183,185,185,NULL,NULL,4,NULL,NULL,1,2,NULL,2,NULL,NULL,2,NULL,NULL
WATONK,24404,171,2014-2015,NULL,180,174,155,155,NULL,NULL,3,3,NULL,1,1,NULL,2,NULL,NULL,1,NULL,NULL
WAYAKI,39007,105,NULL,2015-2016,NULL,NULL,180,173,180,179,NULL,4,NULL,NULL,2,2,NULL,NULL,2,NULL,2,NULL
WAWAHL,13073,105,NULL,2015-2016,165,165,170,168,170,166,3,4,2,NULL,2,2,NULL,NULL,2,NULL,2,NULL
WAWENA,4246,171,2014-2015,NULL,180,176,180,177,180,174,3,3,NULL,2,1,2,2,NULL,2,2,NULL,NULL
WASUNN,39201,105,2014-2015,NULL,173,163,173,165,173,165,3,3,NULL,1,1,1,5,NULL,1,NULL,NULL,1
WAWENA,4246,171,2014-2015,NULL,177,166,180,172,180,164,3,3,NULL,NULL,2,2,NULL,NULL,3,NULL,NULL,3
WABURL,29100,189,2014-2015,NULL,181,175,185,179,181,180,NULL,NULL,NULL,2,3,2,3,NULL,2,NULL,NULL,2
WABURL,29100,189,2014-2015,NULL,132,131,130,128,181,172,3,3,NULL,NULL,1,1,NULL,NULL,1,NULL,NULL,2
WABURL,29100,189,2014-2015,NULL,170,166,185,184,181,179,3,4,NULL,NULL,1,1,NULL,NULL,2,1,NULL,NULL
WAKENN,3017,123,NULL,2015-2016,NULL,NULL,NULL,NULL,106,104,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,1,NULL,NULL,NULL
WAQUIN,13144,171,NULL,2015-2016,180,176,180,172,128,126,1,3,2,NULL,1,1,NULL,NULL,1,NULL,1,NULL
WAYAKI,39007,105,2014-2015,NULL,180,154,113,96,NULL,NULL,3,3,NULL,3,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL
WAWAHL,13073,105,NULL,2015-2016,NULL,NULL,40,40,180,172,NULL,2,NULL,NULL,1,1,NULL,NULL,1,NULL,1,NULL
WABREW,24111,171,2014-2015,NULL,182,163,176,173,168,144,3,3,NULL,NULL,1,1,NULL,NULL,2,2,NULL,NULL
WAKENN,3017,123,2014-2015,NULL,NULL,NULL,180,176,180,179,NULL,3,NULL,NULL,1,1,NULL,NULL,1,NULL,NULL,1
WAKENN,3017,123,2014-2015,NULL,180,163,180,180,180,176,3,2,2,2,1,1,1,NULL,1,NULL,NULL,1
WATONK,24404,171,NULL,2015-2016,180,178,175,174,182,175,3,3,NULL,2,2,2,2,NULL,2,NULL,2,NULL
WAWAHL,13073,105,NULL,2015-2016,NULL,NULL,180,174,180,177,NULL,NULL,NULL,NULL,3,2,NULL,NULL,3,NULL,3,NULL
WAGRAN,39200,105,2014-2015,NULL,177,177,178,169,180,175,3,4,NULL,1,1,1,2,NULL,2,1,NULL,NULL
WAQUIN,13144,171,NULL,2015-2016,180,179,180,179,180,173,NULL,NULL,NULL,NULL,2,3,NULL,NULL,3,NULL,2,NULL
WAWAHL,13073,105,2014-2015,2015-2016,180,176,180,172,180,171,3,3,NULL,NULL,1,1,NULL,NULL,2,3,NULL,NULL
WAWAHL,13073,105,2014-2015,NULL,180,176,156,153,180,175,3,3,NULL,NULL,1,1,NULL,NULL,1,1,NULL,NULL
WAWENA,4246,171,NULL,2015-2016,NULL,NULL,36,36,181,179,NULL,NULL,NULL,NULL,2,3,NULL,NULL,3,NULL,3,NULL
WANORT,11051,123,2014-2015,NULL,176,174,178,175,180,178,3,3,NULL,1,1,1,1,NULL,1,1,NULL,NULL
WAWAPA,39207,105,NULL,2015-2016,174,172,180,178,184,180,3,3,NULL,1,1,1,1,NULL,2,1,NULL,NULL
WAWAPA,39207,105,2014-2015,NULL,155,155,180,173,180,178,3,3,2,2,2,2,3,NULL,3,NULL,NULL,3
WANORT,11051,123,NULL,2015-2016,NULL,NULL,105,103,180,176,NULL,1,NULL,NULL,1,1,NULL,NULL,1,NULL,1,NULL
WAYAKI,39007,105,2014-2015,NULL,180,171,180,169,100,96,3,3,NULL,1,1,NULL,2,NULL,NULL,1,NULL,NULL
WAYAKI,39007,105,2014-2015,NULL,180,177,180,157,180,160,NULL,NULL,NULL,2,2,1,2,NULL,1,NULL,NULL,2
WASUNN,39201,105,2014-2015,NULL,37,35,173,167,173,165,NULL,NULL,NULL,2,3,3,NULL,NULL,2,NULL,NULL,2
WATONK,24404,171,NULL,2015-2016,NULL,NULL,180,173,180,176,NULL,3,NULL,NULL,1,1,NULL,NULL,1,NULL,2,NULL
WAQUIN,13144,171,NULL,2015-2016,NULL,NULL,180,164,154,143,NULL,NULL,NULL,NULL,2,3,NULL,NULL,2,NULL,3,NULL
WAWAPA,39207,105,NULL,2015-2016,NULL,NULL,180,170,180,175,NULL,NULL,NULL,NULL,2,3,NULL,NULL,3,NULL,NULL,NULL
WANORT,11051,123,NULL,2015-2016,176,176,178,178,180,180,3,3,NULL,1,2,2,2,NULL,1,NULL,2,NULL
WAWARD,13146,171,NULL,2015-2016,164,154,164,154,156,151,NULL,NULL,NULL,2,2,2,2,NULL,2,2,NULL,NULL
WAWAHL,13073,105,2014-2015,NULL,158,155,180,168,156,151,3,4,2,NULL,1,1,NULL,NULL,1,2,NULL,NULL
WATONK,24404,171,2014-2015,NULL,180,180,180,174,108,108,NULL,NULL,NULL,2,2,1,3,NULL,2,NULL,NULL,3
WASUNN,39201,105,2014-2015,NULL,94,94,173,167,173,169,1,2,NULL,1,1,1,1,NULL,1,NULL,NULL,1
